"","score","text"
"61",0,"RT @saputrasurya922: #AniesTakutDebat nih skrg ngeles tak tau spanduk Jakarta Bersyariah. Biarkn GAmbar Bicara @lagaligoBone @GunRomli @Her…"
"62",0,"Jakarta Bersyariah Life is like a rainbow, you need both the sun and the rain to make its colors appear. #NOMOR1.net #wongsi143"
"63",0,"You can grow stronger from the pain if you don’t let it destroy you. #NOMOR1.com #heris3832 Jakarta Bersyariah"
"64",-2,"RT @kata_sandiuno: Jakarta Bersyariah ? mngkn msh ada yg keliru. Baca dulu artikel ini ya. Justru Anies-Sandi ingin Jakarta bersatu.
https:…"
"65",0,"RT @saputrasurya922: #AniesTakutDebat nih skrg ngeles tak tau spanduk Jakarta Bersyariah. Biarkn GAmbar Bicara @lagaligoBone @GunRomli @Her…"
"66",2,"RT @GunRomli: Jadi Anies gak usa bersandiwara soal spanduk2 Jakarta Bersyariah, tanya dulu pendukungnya, sbgmana spanduk2 SARA oleh penduku…"
"67",0,"RT @LinaPradana: @na_dirs @bongkar @aniesbaswedan @pandji @EepSFatah @digembok @jokowi @kurawa Soal spanduk Jakarta Bersyariah, ada knfirma…"
"68",-1,"RT @SuaraAnies: Anies-Sandi Pastikan Kontrak Jakarta Bersyariah adalah Fitnah https://t.co/ZRHFHQ8BR8"
"69",0,"#berita https://t.co/c4Tev4Dr8H : Jakarta Bersyariah, Ahok-Djarot Komitmen Jadikan Jakarta Berpancasilais https://t.co/3M9VsYWBFP"
"70",1,"RT @zuhairimisrawi: Anies harus berani menegaskan kepada publik: apakah ia ingin menegakkah Jakarta Bersyariah atau Jakarta Berpancasila?"
"71",-1,"@Aryprasetyo85 hEy! Pake otak dong!! Kalau nggak jakarta bersyariah apa lagi?! Mau lo si ahok mau buat jakarta ancur"
"72",-2,"RT @JokoHQ: Ini para penggagas Jakarta Bersyariah. Marketnya Anies. Nggak mungkin dibantah isi spanduknya. https://t.co/nOfa6ZIFSk"
"73",1,"RT @zuhairimisrawi: Anies harus berani menegaskan kepada publik: apakah ia ingin menegakkah Jakarta Bersyariah atau Jakarta Berpancasila?"
"74",-1,"RT @SuaraAnies: Anies-Sandi Pastikan Kontrak Jakarta Bersyariah adalah Fitnah https://t.co/ZRHFHQ8BR8"
"75",-1,"RT @kangmeirza: Soal Spanduk ""Jakarta Bersyariah"", Anies Sebut Fitnahnya Sistematis. Kok beda sama pendukungnya @aniesbaswedan dilapangan y…"
"76",1,"RT @zuhairimisrawi: Anies harus berani menegaskan kepada publik: apakah ia ingin menegakkah Jakarta Bersyariah atau Jakarta Berpancasila?"
"77",1,"RT @zuhairimisrawi: Anies harus berani menegaskan kepada publik: apakah ia ingin menegakkah Jakarta Bersyariah atau Jakarta Berpancasila?"
"78",-1,"RT @kangmeirza: Soal Spanduk ""Jakarta Bersyariah"", Anies Sebut Fitnahnya Sistematis. Kok beda sama pendukungnya @aniesbaswedan dilapangan y…"
"79",-3,"RT @ulinyusron: Mainan kok Jakarta bersyariah. Anies Sandi masih main ayat, mayat, jinayat, kualat, sekarat, lama-lama kiamat. Program nyon…"
"80",-1,"RT @maspiyuuu: KLARIFIKASI dan BANTAHAN Tim Anies-Sandi Terkait Spanduk Jakarta Bersyariah https://t.co/K24lYTWzus"
"81",1,"RT @zuhairimisrawi: Anies harus berani menegaskan kepada publik: apakah ia ingin menegakkah Jakarta Bersyariah atau Jakarta Berpancasila?"
"82",-1,"RT @SuaraAnies: Anies-Sandi Pastikan Kontrak Jakarta Bersyariah adalah Fitnah https://t.co/ZRHFHQ8BR8"
"83",-3,"RT @titorachman1: Tangkaap!!.. Penyebar Fitnah Spanduk Jakarta Bersyariah Dapat Dikenakan Sanksi Pidana https://t.co/KgRVocI6Ec https://t.c…"
"84",-1,"&gt; Marak Spanduk Jakarta Bersyariah, Tim Ahok Minta Tindakan Tegas https://t.co/4joWGrU8pC"
