"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @zuhairimisrawi: Anies harus berani menegaskan kepada publik: apakah ia ingin menegakkah Jakarta Bersyariah atau Jakarta Berpancasila?",FALSE,0,NA,2017-04-04 06:52:34,FALSE,NA,"849152699304099840",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","andi_naqsya77",66,TRUE,FALSE,NA,NA
"RT @SuaraAnies: Anies-Sandi Pastikan Kontrak Jakarta Bersyariah adalah Fitnah https://t.co/ZRHFHQ8BR8",FALSE,0,NA,2017-04-04 06:51:27,FALSE,NA,"849152415949508608",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","syarifawwaliyah",129,TRUE,FALSE,NA,NA
"RT @titorachman1: Tangkaap!!.. Penyebar Fitnah Spanduk Jakarta Bersyariah Dapat Dikenakan Sanksi Pidana https://t.co/KgRVocI6Ec https://t.c…",FALSE,0,NA,2017-04-04 06:48:52,FALSE,NA,"849151767052902400",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SubhanDanil",1,TRUE,FALSE,NA,NA
"&gt; Marak Spanduk Jakarta Bersyariah, Tim Ahok Minta Tindakan Tegas https://t.co/4joWGrU8pC",FALSE,0,NA,2017-04-04 06:48:12,FALSE,NA,"849151597716361216",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","bacaberita21",0,FALSE,FALSE,NA,NA
"RT @JokoHQ: Ini para penggagas Jakarta Bersyariah. Marketnya Anies. Nggak mungkin dibantah isi spanduknya. https://t.co/nOfa6ZIFSk",FALSE,0,NA,2017-04-04 06:47:58,FALSE,NA,"849151539155423232",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","salammuly109gm1",101,TRUE,FALSE,NA,NA
"RT @kangmeirza: Soal Spanduk ""Jakarta Bersyariah"", Anies Sebut Fitnahnya Sistematis. Kok beda sama pendukungnya @aniesbaswedan dilapangan y…",FALSE,0,NA,2017-04-04 06:46:25,FALSE,NA,"849151150179864577",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","zenponti",39,TRUE,FALSE,NA,NA
"Marak Spanduk Jakarta Bersyariah, Tim Ahok Minta Tindakan Tegas https://t.co/k7CaxAQzPb https://t.co/w1PHRAEJzZ",FALSE,0,NA,2017-04-04 06:40:30,FALSE,NA,"849149662489608192",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","suaradotcom",0,FALSE,FALSE,NA,NA
"Tugas kita bukanlah untuk berhasil. Tugas kita ad https://t.co/7FKWCEX1dz Jakarta Bersyariah",FALSE,0,NA,2017-04-04 06:40:15,FALSE,NA,"849149597880434688",NA,"<a href=""http://www.nomor1.com"" rel=""nofollow"">NOMOR1</a>","sedit123",0,FALSE,FALSE,NA,NA
"RT @kangmeirza: Soal Spanduk ""Jakarta Bersyariah"", Anies Sebut Fitnahnya Sistematis. Kok beda sama pendukungnya @aniesbaswedan dilapangan y…",FALSE,0,NA,2017-04-04 06:39:34,FALSE,NA,"849149425448386561",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","amin_alimah",39,TRUE,FALSE,NA,NA
"RT @zuhairimisrawi: Anies harus berani menegaskan kepada publik: apakah ia ingin menegakkah Jakarta Bersyariah atau Jakarta Berpancasila?",FALSE,0,NA,2017-04-04 06:39:30,FALSE,NA,"849149412299296768",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ifaahanif",66,TRUE,FALSE,NA,NA
"RT @saputrasurya922: #AniesTakutDebat nih skrg ngeles tak tau spanduk Jakarta Bersyariah. Biarkn GAmbar Bicara @lagaligoBone @GunRomli @Her…",FALSE,0,NA,2017-04-04 06:39:25,FALSE,NA,"849149388249104384",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AfanMeryfanol",58,TRUE,FALSE,NA,NA
"RT @datuakrajoangek: Eh tapi ada pertanyaan nih. Adakah pernyataan yg tegas dari mereka bahwa jakarta bersyariah itu fitnah?Bahwa mereka ti…",FALSE,0,NA,2017-04-04 06:39:06,FALSE,NA,"849149309673025536",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","petrichoryan",12,TRUE,FALSE,NA,NA
"RT @SuaraAnies: Anies-Sandi Pastikan Kontrak Jakarta Bersyariah adalah Fitnah https://t.co/ZRHFHQ8BR8",FALSE,0,NA,2017-04-04 06:38:50,FALSE,NA,"849149243663175680",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","swaraku98",129,TRUE,FALSE,NA,NA
"RT @saputrasurya922: #AniesTakutDebat nih skrg ngeles tak tau spanduk Jakarta Bersyariah. Biarkn GAmbar Bicara @lagaligoBone @GunRomli @Her…",FALSE,0,NA,2017-04-04 06:38:12,FALSE,NA,"849149083285471232",NA,"<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","dongengwayang",58,TRUE,FALSE,NA,NA
"RT @saputrasurya922: #AniesTakutDebat nih skrg ngeles tak tau spanduk Jakarta Bersyariah. Biarkn GAmbar Bicara @lagaligoBone @GunRomli @Her…",FALSE,0,NA,2017-04-04 06:37:32,FALSE,NA,"849148913286127617",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Elina_Vay",58,TRUE,FALSE,NA,NA
"RT @okezonenews: Penyebar Fitnah Spanduk Jakarta Bersyariah Dapat Dikenakan Sanksi Pidana https://t.co/3rMKRnLO4d https://t.co/sW1HRgwg0V",FALSE,0,NA,2017-04-04 06:37:09,FALSE,NA,"849148818469736448",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","er_faruq",1,TRUE,FALSE,NA,NA
"RT @JokoHQ: Apa pernah Anies terang2an membantah spanduk Jakarta Bersyariah? Nggaklah. Dia pengen jg dpt secuil suara dr pendukung Jakarta…",FALSE,0,NA,2017-04-04 06:36:35,FALSE,NA,"849148675662073856",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","OnlineProduk",154,TRUE,FALSE,NA,NA
"RT @saputrasurya922: #AniesTakutDebat nih skrg ngeles tak tau spanduk Jakarta Bersyariah. Biarkn GAmbar Bicara @lagaligoBone @GunRomli @Her…",FALSE,0,NA,2017-04-04 06:35:47,FALSE,NA,"849148474767548416",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","engkongbens",58,TRUE,FALSE,NA,NA
"RT @GunRomli: Jelas2 sekali Al-Khaththath alias Gatot ini brsama FPI yg dukung Anies ingin tegakkan NKRI Bersyariah, ya mulai dr Jakarta Be…",FALSE,0,NA,2017-04-04 06:34:01,FALSE,NA,"849148028787105792",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Sent_Indra",83,TRUE,FALSE,NA,NA
"RT @risyiana: Re: Spanduk Jakarta Bersyariah | Saya RT supaya kita gak ada di echo chambers ya, temans. https://t.co/r8iTq6Ih3z",FALSE,0,NA,2017-04-04 06:33:32,FALSE,NA,"849147909903761408",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","setsunavie",1,TRUE,FALSE,NA,NA
"RT @zuhairimisrawi: Anies harus berani menegaskan kepada publik: apakah ia ingin menegakkah Jakarta Bersyariah atau Jakarta Berpancasila?",FALSE,0,NA,2017-04-04 06:30:16,FALSE,NA,"849147085211320320",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bangedoku",66,TRUE,FALSE,NA,NA
"RT @kangmeirza: Soal Spanduk ""Jakarta Bersyariah"", Anies Sebut Fitnahnya Sistematis. Kok beda sama pendukungnya @aniesbaswedan dilapangan y…",FALSE,0,NA,2017-04-04 06:29:56,FALSE,NA,"849147002642284546",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","im4m81",39,TRUE,FALSE,NA,NA
"RT @SuaraAnies: Anies-Sandi Pastikan Kontrak Jakarta Bersyariah adalah Fitnah https://t.co/ZRHFHQ8BR8",FALSE,0,NA,2017-04-04 06:29:47,FALSE,NA,"849146966671896576",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ezod_rizal",129,TRUE,FALSE,NA,NA
"Hati-hati sama kedok syariah, liat belakangnya siapa yg sokong 
https://t.co/VWt5DIw4KN https://t.co/IWWPtuWOCc",FALSE,0,NA,2017-04-04 06:28:46,FALSE,NA,"849146708520873984",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","salam_bhineka",0,FALSE,FALSE,NA,NA
"RT @SuaraAnies: Anies-Sandi Pastikan Kontrak Jakarta Bersyariah adalah Fitnah https://t.co/ZRHFHQ8BR8",FALSE,0,NA,2017-04-04 06:26:36,FALSE,NA,"849146164188336131",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Sandi_22april",129,TRUE,FALSE,NA,NA
"RT @TyacaemCut: #AniesTakutDebat krna nti di tanyain soal jakarta bersyariah sm   
@Rosianna766Hi .makanya anies ga dtg di acaranya rosi..h…",FALSE,0,NA,2017-04-04 06:26:33,FALSE,NA,"849146151580446720",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","ucipertiw1",4,TRUE,FALSE,NA,NA
"RT @TyacaemCut: #AniesTakutDebat krna nti di tanyain soal jakarta bersyariah sm   
@Rosianna766Hi .makanya anies ga dtg di acaranya rosi..h…",FALSE,0,NA,2017-04-04 06:26:33,FALSE,NA,"849146151068512256",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","WiseW4",4,TRUE,FALSE,NA,NA
"RT @HajiLolong: Gerombolan Anis - Sandi - FPI - PKS - Gerindra - FUI - HTI sangat jahat! Seperti ini Jakarta Bersyariah yg akan elu bangun?…",FALSE,0,NA,2017-04-04 06:26:10,FALSE,NA,"849146055685844992",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bintang_good",32,TRUE,FALSE,NA,NA
"RT @ulinyusron: Mainan kok Jakarta bersyariah. Anies Sandi masih main ayat, mayat, jinayat, kualat, sekarat, lama-lama kiamat. Program nyon…",FALSE,0,NA,2017-04-04 06:25:55,FALSE,NA,"849145991555039232",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","julianto_irwan",165,TRUE,FALSE,NA,NA
"Don’t let loneliness drive you back into the arms of someone you know you don’t b #NetworkNumberOne.com #shidm5044 Jakarta Bersyariah",FALSE,0,NA,2017-04-04 06:25:44,FALSE,NA,"849145947258896385",NA,"<a href=""http://www.nomor1.com"" rel=""nofollow"">NOMOR1</a>","ita_willyana",0,FALSE,FALSE,NA,NA
"Tangkaap!!.. Penyebar Fitnah Spanduk Jakarta Bersyariah Dapat Dikenakan Sanksi Pidana https://t.co/KgRVocI6Ec https://t.co/shMTVfnwu1",FALSE,1,NA,2017-04-04 06:25:02,FALSE,NA,"849145769718194176",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","titorachman1",1,FALSE,FALSE,NA,NA
"Re: Spanduk Jakarta Bersyariah | Saya RT supaya kita gak ada di echo chambers ya, temans. https://t.co/r8iTq6Ih3z",FALSE,0,NA,2017-04-04 06:21:22,FALSE,NA,"849144847923638272",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","risyiana",1,FALSE,FALSE,NA,NA
"RT @kangmeirza: Soal Spanduk ""Jakarta Bersyariah"", Anies Sebut Fitnahnya Sistematis. Kok beda sama pendukungnya @aniesbaswedan dilapangan y…",FALSE,0,NA,2017-04-04 06:19:41,FALSE,NA,"849144424588206086",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","koko896",39,TRUE,FALSE,NA,NA
"RT okezonenews ""Penyebar Fitnah Spanduk Jakarta Bersyariah Dapat Dikenakan Sanksi Pidana https://t.co/RtE2sDYqvf https://t.co/Bsb759fW3X""",FALSE,0,NA,2017-04-04 06:19:20,FALSE,NA,"849144335044157440",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","andri000me_12",0,FALSE,FALSE,NA,NA
"RT @kangmeirza: Soal Spanduk ""Jakarta Bersyariah"", Anies Sebut Fitnahnya Sistematis. Kok beda sama pendukungnya @aniesbaswedan dilapangan y…",FALSE,0,NA,2017-04-04 06:17:57,FALSE,NA,"849143989127204864",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","faesalrizal",39,TRUE,FALSE,NA,NA
"RT @datuakrajoangek: Eh tapi ada pertanyaan nih. Adakah pernyataan yg tegas dari mereka bahwa jakarta bersyariah itu fitnah?Bahwa mereka ti…",FALSE,0,NA,2017-04-04 06:17:41,FALSE,NA,"849143919858204672",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","im4m81",12,TRUE,FALSE,NA,NA
"RT @JokoHQ: Ini para penggagas Jakarta Bersyariah. Marketnya Anies. Nggak mungkin dibantah isi spanduknya. https://t.co/nOfa6ZIFSk",FALSE,0,NA,2017-04-04 06:17:31,FALSE,NA,"849143877848121344",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","marcel_prawira",101,TRUE,FALSE,NA,NA
